,Số báo danh,Cụm thi,Toán,Ngữ văn,Ngoại ngữ,Vật lý,Hóa học,Sinh học,Lịch sử,Địa lý,GDCD
0,02019146,02 - Sở GDĐT TP. Hồ Chí Minh,3.80,6.75,8.80,2.75,3.25,4.50,,,
1,02021240,02 - Sở GDĐT TP. Hồ Chí Minh,6.40,6.00,2.20,2.75,3.25,4.50,,,
2,01067217,01 - Sở GDĐT Hà Nội,7.60,4.75,2.80,2.75,3.25,5.25,,,
3,02004481,02 - Sở GDĐT TP. Hồ Chí Minh,7.60,4.50,4.00,2.75,3.50,2.00,,,
4,01087673,01 - Sở GDĐT Hà Nội,4.00,5.75,2.40,2.75,3.50,3.25,,,
5,01091122,01 - Sở GDĐT Hà Nội,5.20,7.00,2.40,2.75,3.50,3.50,,,
6,02032361,02 - Sở GDĐT TP. Hồ Chí Minh,6.20,6.50,4.60,2.75,3.50,3.50,,,
7,01088179,01 - Sở GDĐT Hà Nội,7.80,6.00,3.80,2.75,3.50,3.50,,,
8,02001103,02 - Sở GDĐT TP. Hồ Chí Minh,5.80,5.00,5.00,2.75,3.75,2.00,,,
9,01084368,01 - Sở GDĐT Hà Nội,4.80,4.00,1.80,2.75,3.75,2.25,,,
10,02041170,02 - Sở GDĐT TP. Hồ Chí Minh,6.00,6.25,3.60,2.75,3.75,2.75,,,
11,02067553,02 - Sở GDĐT TP. Hồ Chí Minh,6.20,5.00,2.80,2.75,3.75,2.75,,,
12,02081413,02 - Sở GDĐT TP. Hồ Chí Minh,6.60,5.00,5.60,2.75,3.75,2.75,,,
13,02041366,02 - Sở GDĐT TP. Hồ Chí Minh,6.00,4.25,3.40,2.75,3.75,3.75,,,
14,02002377,02 - Sở GDĐT TP. Hồ Chí Minh,6.60,4.50,8.60,2.75,3.75,3.75,,,
15,02069767,02 - Sở GDĐT TP. Hồ Chí Minh,4.80,6.25,4.20,2.75,3.75,4.00,,,
16,02071561,02 - Sở GDĐT TP. Hồ Chí Minh,5.40,4.50,5.60,2.75,3.75,4.00,,,
17,02013664,02 - Sở GDĐT TP. Hồ Chí Minh,5.60,5.50,4.20,2.75,3.75,4.00,,,
18,01082342,01 - Sở GDĐT Hà Nội,3.60,5.75,3.00,2.75,3.75,4.50,,,
19,01090203,01 - Sở GDĐT Hà Nội,4.60,5.25,3.00,2.75,3.75,4.50,,,
20,02076924,02 - Sở GDĐT TP. Hồ Chí Minh,4.60,4.25,3.00,2.75,4.00,2.25,,,
21,02032353,02 - Sở GDĐT TP. Hồ Chí Minh,4.40,6.25,4.60,2.75,4.00,2.75,,,
