,Số báo danh,Cụm thi,Toán,Ngữ văn,Ngoại ngữ,Vật lý,Hóa học,Sinh học,Lịch sử,Địa lý,GDCD
0,01066844,01 - Sở GDĐT Hà Nội,7.80,7.25,6.80,8.50,,,7.00,8.50,.75
1,01066845,01 - Sở GDĐT Hà Nội,6.00,7.00,3.60,6.25,,,6.25,6.25,.75
2,01066846,01 - Sở GDĐT Hà Nội,7.60,5.25,8.20,7.50,3.50,4.50,,,
3,01066847,01 - Sở GDĐT Hà Nội,6.60,4.75,4.00,6.00,,,4.75,6.00,.25
4,01066848,01 - Sở GDĐT Hà Nội,8.20,7.75,6.80,8.00,,,7.50,8.00,.00
5,01066849,01 - Sở GDĐT Hà Nội,8.40,7.50,7.20,6.00,,,7.50,6.00,.25
6,01066850,01 - Sở GDĐT Hà Nội,7.20,6.25,5.00,7.00,,,7.75,7.00,.75
7,01066851,01 - Sở GDĐT Hà Nội,7.20,7.00,6.00,7.00,,,7.25,7.00,.50
8,01066852,01 - Sở GDĐT Hà Nội,5.60,6.25,4.60,6.75,,,6.00,6.75,.25
9,01066853,01 - Sở GDĐT Hà Nội,7.20,7.75,5.40,8.00,,,7.00,8.00,.75
10,01066854,01 - Sở GDĐT Hà Nội,7.80,7.75,6.20,5.75,,,6.00,5.75,.75
11,01066855,01 - Sở GDĐT Hà Nội,7.20,6.25,3.00,8.50,,,5.75,8.50,.25
12,01066856,01 - Sở GDĐT Hà Nội,7.00,8.25,6.20,7.75,,,6.50,7.75,.50
13,01066857,01 - Sở GDĐT Hà Nội,6.80,6.50,5.60,5.75,,,5.75,5.75,.75
14,01066858,01 - Sở GDĐT Hà Nội,8.20,6.25,3.40,6.75,6.75,4.50,,,
15,01066859,01 - Sở GDĐT Hà Nội,5.00,6.00,2.40,5.25,,,3.75,5.25,.75
16,01066860,01 - Sở GDĐT Hà Nội,8.00,6.25,5.40,6.75,,,7.00,6.75,.00
17,01066861,01 - Sở GDĐT Hà Nội,7.60,6.50,5.00,7.00,,,6.75,7.00,.50
18,01066862,01 - Sở GDĐT Hà Nội,6.40,4.00,2.20,5.75,,,6.75,5.75,.75
19,01066863,01 - Sở GDĐT Hà Nội,8.60,5.75,2.60,5.50,6.75,5.00,,,
20,01066864,01 - Sở GDĐT Hà Nội,7.20,6.00,8.80,7.50,,,8.75,7.50,.00
21,01066865,01 - Sở GDĐT Hà Nội,9.00,5.25,3.80,8.50,9.25,3.75,,,
22,01066866,01 - Sở GDĐT Hà Nội,5.00,3.25,2.40,5.25,,,5.75,5.25,.50
23,01066867,01 - Sở GDĐT Hà Nội,5.80,4.75,4.00,5.75,,,4.75,5.75,.00
24,01066868,01 - Sở GDĐT Hà Nội,8.40,8.00,7.40,8.00,,,6.75,8.00,.25
25,01066869,01 - Sở GDĐT Hà Nội,7.00,7.75,2.60,5.75,,,5.50,5.75,.25
26,01066870,01 - Sở GDĐT Hà Nội,3.80,7.50,3.40,7.00,,,6.50,7.00,.75
27,01066871,01 - Sở GDĐT Hà Nội,4.80,7.50,4.00,7.00,,,7.00,7.00,.50
