,Số báo danh,Cụm thi,Toán,Ngữ văn,Ngoại ngữ,Vật lý,Hóa học,Sinh học,Lịch sử,Địa lý,GDCD
0,02060423,02 - Sở GDĐT TP. Hồ Chí Minh,7.40,5.50,,6.75,6.25,6.25,,,
1,02046865,02 - Sở GDĐT TP. Hồ Chí Minh,7.80,6.25,,6.75,6.25,6.50,,,
2,02010215,02 - Sở GDĐT TP. Hồ Chí Minh,8.20,7.00,,6.75,6.25,6.75,,,
3,02009989,02 - Sở GDĐT TP. Hồ Chí Minh,7.20,5.25,,6.75,6.50,4.00,,,
4,02071084,02 - Sở GDĐT TP. Hồ Chí Minh,7.80,6.75,,6.75,6.50,4.00,,,
5,02079038,02 - Sở GDĐT TP. Hồ Chí Minh,7.60,6.00,,6.75,6.50,4.25,,,
6,02080585,02 - Sở GDĐT TP. Hồ Chí Minh,6.60,5.00,,6.75,6.50,4.50,,,
7,02072297,02 - Sở GDĐT TP. Hồ Chí Minh,7.20,5.50,,6.75,6.50,4.75,,,
8,02075296,02 - Sở GDĐT TP. Hồ Chí Minh,7.40,5.50,,6.75,6.50,4.75,,,
9,02010157,02 - Sở GDĐT TP. Hồ Chí Minh,7.60,6.25,,6.75,6.50,4.75,,,
10,01096404,01 - Sở GDĐT Hà Nội,7.20,7.25,,6.75,6.50,5.00,,,
11,02084183,02 - Sở GDĐT TP. Hồ Chí Minh,7.60,5.00,,6.75,6.50,5.00,,,
12,01095335,01 - Sở GDĐT Hà Nội,7.60,7.25,,6.75,6.50,5.00,,,
13,02009802,02 - Sở GDĐT TP. Hồ Chí Minh,8.00,6.75,,6.75,6.50,6.25,,,
14,02076247,02 - Sở GDĐT TP. Hồ Chí Minh,6.80,7.00,,6.75,6.50,6.50,,,
15,02083872,02 - Sở GDĐT TP. Hồ Chí Minh,7.20,6.50,,6.75,6.50,6.75,,,
16,02073599,02 - Sở GDĐT TP. Hồ Chí Minh,7.40,5.25,,6.75,6.50,6.75,,,
17,02010919,02 - Sở GDĐT TP. Hồ Chí Minh,7.40,7.00,,6.75,6.50,6.75,,,
18,02077695,02 - Sở GDĐT TP. Hồ Chí Minh,8.60,,,6.75,6.75,,,,
19,02082095,02 - Sở GDĐT TP. Hồ Chí Minh,7.60,5.50,,6.75,6.75,2.75,,,
20,02063759,02 - Sở GDĐT TP. Hồ Chí Minh,8.00,7.25,,6.75,6.75,4.00,,,
21,02082918,02 - Sở GDĐT TP. Hồ Chí Minh,7.80,7.75,,6.75,6.75,4.50,,,
22,02081408,02 - Sở GDĐT TP. Hồ Chí Minh,6.20,6.50,,6.75,6.75,4.75,,,
23,02084518,02 - Sở GDĐT TP. Hồ Chí Minh,6.80,6.25,,6.75,6.75,4.75,,,
24,02084152,02 - Sở GDĐT TP. Hồ Chí Minh,6.40,5.75,,6.75,6.75,5.00,,,
25,02019895,02 - Sở GDĐT TP. Hồ Chí Minh,7.60,5.75,,6.75,6.75,5.00,,,
