,Số báo danh,Cụm thi,Toán,Ngữ văn,Ngoại ngữ,Vật lý,Hóa học,Sinh học,Lịch sử,Địa lý,GDCD
0,62001613,62 - Sở GDĐT Điện Biên,7.00,5.50,,,,,8.00,,
1,57001320,57 - Sở GDĐT Vĩnh Long,7.00,7.25,,,,,8.00,,
2,54013602,54 - Sở GDĐT Kiên Giang,7.00,8.50,,,,,8.00,,
3,59000436,59 - Sở GDĐT Sóc Trăng,7.40,6.25,,,,,8.00,,
4,62002563,62 - Sở GDĐT Điện Biên,7.60,6.00,,,,,8.00,,
5,58002849,58 - Sở GDĐT Trà Vinh,7.80,6.00,,,,,8.00,,
6,51012816,51 - Sở GDĐT An Giang,7.80,6.25,,,,,8.00,,
7,52003795,52 - Sở GDĐT Bà Rịa-Vũng Tàu,7.80,7.00,,,,,8.00,,
8,52000533,52 - Sở GDĐT Bà Rịa-Vũng Tàu,7.80,8.75,,,,,8.00,,
9,55010535,55 - Sở GDĐT Cần Thơ,8.20,6.25,,,,,8.00,,
10,59001950,59 - Sở GDĐT Sóc Trăng,8.20,8.25,,,,,8.00,,
11,55011695,55 - Sở GDĐT Cần Thơ,3.40,5.00,,,,,8.25,,
12,53008599,53 - Sở GDĐT Tiền Giang,6.20,7.50,,,,,8.25,,
13,54003067,54 - Sở GDĐT Kiên Giang,6.40,6.75,,,,,8.25,,
14,57001701,57 - Sở GDĐT Vĩnh Long,6.60,5.75,,,,,8.25,,
15,55006053,55 - Sở GDĐT Cần Thơ,7.00,6.50,,,,,8.25,,
16,55010270,55 - Sở GDĐT Cần Thơ,7.00,6.50,,,,,8.25,,
17,63000152,63 - Sở GDĐT Đăk Nông,7.00,6.75,,,,,8.25,,
18,55006150,55 - Sở GDĐT Cần Thơ,7.20,5.00,,,,,8.25,,
19,59001545,59 - Sở GDĐT Sóc Trăng,7.20,7.00,,,,,8.25,,
20,62006324,62 - Sở GDĐT Điện Biên,7.20,7.50,,,,,8.25,,
21,61003085,61 - Sở GDĐT Cà Mau,7.20,9.00,,,,,8.25,,
22,58002284,58 - Sở GDĐT Trà Vinh,7.40,5.25,,,,,8.25,,
23,58002571,58 - Sở GDĐT Trà Vinh,7.60,6.00,,,,,8.25,,
24,58002405,58 - Sở GDĐT Trà Vinh,7.60,7.25,,,,,8.25,,
25,62004259,62 - Sở GDĐT Điện Biên,7.60,7.50,,,,,8.25,,
26,53008867,53 - Sở GDĐT Tiền Giang,8.00,4.25,,,,,8.25,,
27,56010752,56 - Sở GDĐT Bến Tre,8.00,5.75,,,,,8.25,,
28,59002052,59 - Sở GDĐT Sóc Trăng,8.00,5.75,,,,,8.25,,
29,56012310,56 - Sở GDĐT Bến Tre,8.00,6.25,,,,,8.25,,
30,60000911,60 - Sở GDĐT Bạc Liêu,8.00,6.50,,,,,8.25,,
31,59000126,59 - Sở GDĐT Sóc Trăng,8.00,7.75,,,,,8.25,,
32,59000020,59 - Sở GDĐT Sóc Trăng,5.40,6.50,,,,,8.50,,
33,55006172,55 - Sở GDĐT Cần Thơ,5.60,5.25,,,,,8.50,,
34,60000980,60 - Sở GDĐT Bạc Liêu,6.00,5.75,,,,,8.50,,
35,55011959,55 - Sở GDĐT Cần Thơ,6.40,7.00,,,,,8.50,,
36,55011778,55 - Sở GDĐT Cần Thơ,6.80,6.25,,,,,8.50,,
37,57001417,57 - Sở GDĐT Vĩnh Long,7.00,5.50,,,,,8.50,,
38,59000047,59 - Sở GDĐT Sóc Trăng,7.00,7.00,,,,,8.50,,
39,61002684,61 - Sở GDĐT Cà Mau,7.20,6.75,,,,,8.50,,
40,58002876,58 - Sở GDĐT Trà Vinh,7.40,7.00,,,,,8.50,,
41,58003174,58 - Sở GDĐT Trà Vinh,7.40,7.00,,,,,8.50,,
42,54009380,54 - Sở GDĐT Kiên Giang,7.40,8.25,,,,,8.50,,
43,58003022,58 - Sở GDĐT Trà Vinh,7.80,5.50,,,,,8.50,,
44,51013244,51 - Sở GDĐT An Giang,8.00,5.50,,,,,8.50,,
45,53008692,53 - Sở GDĐT Tiền Giang,8.00,5.50,,,,,8.50,,
46,54009910,54 - Sở GDĐT Kiên Giang,8.00,7.50,,,,,8.50,,
47,58002403,58 - Sở GDĐT Trà Vinh,8.20,6.00,,,,,8.50,,
48,57001477,57 - Sở GDĐT Vĩnh Long,8.20,7.50,,,,,8.50,,
49,59000308,59 - Sở GDĐT Sóc Trăng,8.20,8.25,,,,,8.50,,
50,54012815,54 - Sở GDĐT Kiên Giang,8.60,7.00,,,,,8.50,,
51,62005124,62 - Sở GDĐT Điện Biên,8.60,8.00,,,,,8.50,,
52,61003483,61 - Sở GDĐT Cà Mau,8.60,8.75,,,,,8.50,,
53,57001794,57 - Sở GDĐT Vĩnh Long,3.60,3.75,,,,,8.75,,
54,55010284,55 - Sở GDĐT Cần Thơ,3.80,5.50,,,,,8.75,,
55,60000759,60 - Sở GDĐT Bạc Liêu,5.80,5.50,,,,,8.75,,
56,62000284,62 - Sở GDĐT Điện Biên,6.00,6.50,,,,,8.75,,
57,60002471,60 - Sở GDĐT Bạc Liêu,6.20,5.50,,,,,8.75,,
58,56010532,56 - Sở GDĐT Bến Tre,6.60,5.50,,,,,8.75,,
59,56010606,56 - Sở GDĐT Bến Tre,6.60,6.00,,,,,8.75,,
60,60002909,60 - Sở GDĐT Bạc Liêu,7.00,7.75,,,,,8.75,,
61,62004293,62 - Sở GDĐT Điện Biên,7.20,7.00,,,,,8.75,,
62,51017378,51 - Sở GDĐT An Giang,7.40,5.75,,,,,8.75,,
63,53008933,53 - Sở GDĐT Tiền Giang,7.40,6.00,,,,,8.75,,
64,54010143,54 - Sở GDĐT Kiên Giang,7.40,6.75,,,,,8.75,,
65,54001253,54 - Sở GDĐT Kiên Giang,7.40,8.00,,,,,8.75,,
66,52004284,52 - Sở GDĐT Bà Rịa-Vũng Tàu,7.60,6.00,,,,,8.75,,
67,59000350,59 - Sở GDĐT Sóc Trăng,7.80,7.75,,,,,8.75,,
68,60004626,60 - Sở GDĐT Bạc Liêu,7.80,8.00,,,,,8.75,,
69,59001604,59 - Sở GDĐT Sóc Trăng,7.80,8.25,,,,,8.75,,
70,62000052,62 - Sở GDĐT Điện Biên,7.80,8.50,,,,,8.75,,
71,55012111,55 - Sở GDĐT Cần Thơ,8.00,7.25,,,,,8.75,,
72,62004279,62 - Sở GDĐT Điện Biên,8.00,7.75,,,,,8.75,,
73,51010270,51 - Sở GDĐT An Giang,8.00,8.25,,,,,8.75,,
74,52004188,52 - Sở GDĐT Bà Rịa-Vũng Tàu,8.00,8.25,,,,,8.75,,
75,59001958,59 - Sở GDĐT Sóc Trăng,8.20,7.75,,,,,8.75,,
76,62005281,62 - Sở GDĐT Điện Biên,8.20,8.75,,,,,8.75,,
77,60000613,60 - Sở GDĐT Bạc Liêu,8.40,7.50,,,,,8.75,,
78,55011626,55 - Sở GDĐT Cần Thơ,5.80,8.25,,,,,9.00,,
79,62005019,62 - Sở GDĐT Điện Biên,6.20,8.25,,,,,9.00,,
80,62004807,62 - Sở GDĐT Điện Biên,6.60,6.50,,,,,9.00,,
81,62004755,62 - Sở GDĐT Điện Biên,6.80,8.00,,,,,9.00,,
82,53009084,53 - Sở GDĐT Tiền Giang,7.00,7.00,,,,,9.00,,
83,56010520,56 - Sở GDĐT Bến Tre,7.20,5.50,,,,,9.00,,
84,54002921,54 - Sở GDĐT Kiên Giang,7.40,8.00,,,,,9.00,,
85,56010955,56 - Sở GDĐT Bến Tre,7.60,5.50,,,,,9.00,,
86,53008774,53 - Sở GDĐT Tiền Giang,7.60,6.75,,,,,9.00,,
87,51009994,51 - Sở GDĐT An Giang,7.60,8.50,,,,,9.00,,
88,58002424,58 - Sở GDĐT Trà Vinh,7.80,6.00,,,,,9.00,,
89,54013765,54 - Sở GDĐT Kiên Giang,7.80,7.00,,,,,9.00,,
90,60000782,60 - Sở GDĐT Bạc Liêu,7.80,7.00,,,,,9.00,,
91,62004387,62 - Sở GDĐT Điện Biên,7.80,7.00,,,,,9.00,,
92,58002899,58 - Sở GDĐT Trà Vinh,8.00,5.25,,,,,9.00,,
93,58002345,58 - Sở GDĐT Trà Vinh,8.00,6.75,,,,,9.00,,
94,60000558,60 - Sở GDĐT Bạc Liêu,8.00,7.00,,,,,9.00,,
95,51010521,51 - Sở GDĐT An Giang,8.00,7.75,,,,,9.00,,
96,53008597,53 - Sở GDĐT Tiền Giang,8.00,8.50,,,,,9.00,,
