,Số báo danh,Cụm thi,Toán,Ngữ văn,Ngoại ngữ,Vật lý,Hóa học,Sinh học,Lịch sử,Địa lý,GDCD
0,28008236,28 - Sở GDĐT Thanh Hoá,,7.50,,9.00,,,10.0,9.00,
1,29014092,29 - Sở GDĐT Nghệ An,,7.50,,9.00,,,10.0,9.00,
2,31001791,31 - Sở GDĐT Quảng Bình,,7.50,,9.00,,,10.0,9.00,
3,29020998,29 - Sở GDĐT Nghệ An,,8.00,,9.00,,,10.0,9.00,
4,29031813,29 - Sở GDĐT Nghệ An,,8.00,,9.00,,,10.0,9.00,
5,27003555,27 - Sở GDĐT Ninh Bình,,8.75,,9.00,,,10.0,9.00,
6,27003700,27 - Sở GDĐT Ninh Bình,,8.75,,9.00,,,10.0,9.00,
7,28009444,28 - Sở GDĐT Thanh Hoá,,8.75,,9.00,,,10.0,9.00,
8,30015854,30 - Sở GDĐT Hà Tĩnh,,9.00,,9.00,,,10.0,9.00,
9,30004534,30 - Sở GDĐT Hà Tĩnh,,9.25,,9.00,,,10.0,9.00,
10,28008377,28 - Sở GDĐT Thanh Hoá,8.20,8.25,,9.00,,,10.0,9.00,
11,26012789,26 - Sở GDĐT Thái Bình,,4.00,,9.25,,,10.0,9.25,
12,32004982,32 - Sở GDĐT Quảng Trị,,6.50,,9.25,,,10.0,9.25,
13,32003815,32 - Sở GDĐT Quảng Trị,,6.75,,9.25,,,10.0,9.25,
14,31009673,31 - Sở GDĐT Quảng Bình,,7.00,,9.25,,,10.0,9.25,
15,32002232,32 - Sở GDĐT Quảng Trị,,7.00,,9.25,,,10.0,9.25,
16,28000791,28 - Sở GDĐT Thanh Hoá,,7.25,,9.25,,,10.0,9.25,
17,28018405,28 - Sở GDĐT Thanh Hoá,,8.00,,9.25,,,10.0,9.25,
18,28017787,28 - Sở GDĐT Thanh Hoá,,8.25,,9.25,,,10.0,9.25,
19,29004544,29 - Sở GDĐT Nghệ An,,8.25,,9.25,,,10.0,9.25,
20,31002046,31 - Sở GDĐT Quảng Bình,,8.25,,9.25,,,10.0,9.25,
21,28008502,28 - Sở GDĐT Thanh Hoá,,8.33,,9.25,,,10.0,9.25,
22,27007274,27 - Sở GDĐT Ninh Bình,,8.50,,9.25,,,10.0,9.25,
23,30004263,30 - Sở GDĐT Hà Tĩnh,,8.50,,9.25,,,10.0,9.25,
24,30003565,30 - Sở GDĐT Hà Tĩnh,,8.75,,9.25,,,10.0,9.25,
25,32001590,32 - Sở GDĐT Quảng Trị,,9.00,,9.25,,,10.0,9.25,
26,28021656,28 - Sở GDĐT Thanh Hoá,3.60,6.50,,9.25,,,10.0,9.25,
27,29035313,29 - Sở GDĐT Nghệ An,,7.00,,9.50,,,10.0,9.50,
28,28008628,28 - Sở GDĐT Thanh Hoá,,7.25,,9.50,,,10.0,9.50,
