,Số báo danh,Cụm thi,Toán,Ngữ văn,Ngoại ngữ,Vật lý,Hóa học,Sinh học,Lịch sử,Địa lý,GDCD
0,02047537,02 - Sở GDĐT TP. Hồ Chí Minh,7.80,,,3.75,7.00,5.75,,,
1,02071181,02 - Sở GDĐT TP. Hồ Chí Minh,8.00,7.25,,3.75,7.00,7.25,,,
2,01077949,01 - Sở GDĐT Hà Nội,7.80,,,3.75,7.50,6.50,,,
3,01075037,01 - Sở GDĐT Hà Nội,8.20,5.25,,3.75,7.50,7.25,,,
4,03015090,03 - Sở GDĐT Hải Phòng,7.60,,,3.75,7.50,7.50,,,
5,02056336,02 - Sở GDĐT TP. Hồ Chí Minh,7.40,,,3.75,7.75,8.75,,,
6,02082749,02 - Sở GDĐT TP. Hồ Chí Minh,8.20,,,3.75,8.00,8.50,,,
7,02004076,02 - Sở GDĐT TP. Hồ Chí Minh,8.20,6.75,,3.75,8.25,7.75,,,
8,02049963,02 - Sở GDĐT TP. Hồ Chí Minh,9.00,,,3.75,8.25,9.00,,,
9,02084889,02 - Sở GDĐT TP. Hồ Chí Minh,8.20,4.75,,3.75,8.50,7.00,,,
10,02070840,02 - Sở GDĐT TP. Hồ Chí Minh,8.20,,,3.75,8.50,7.25,,,
11,02004997,02 - Sở GDĐT TP. Hồ Chí Minh,8.80,6.75,,3.75,8.50,8.00,,,
12,02049131,02 - Sở GDĐT TP. Hồ Chí Minh,8.40,,,3.75,8.75,8.50,,,
13,02069670,02 - Sở GDĐT TP. Hồ Chí Minh,8.40,,,3.75,9.00,7.75,,,
14,03001887,03 - Sở GDĐT Hải Phòng,7.00,,,4.00,,,,,
15,02069488,02 - Sở GDĐT TP. Hồ Chí Minh,6.60,5.16,,4.00,,,,,
16,02051423,02 - Sở GDĐT TP. Hồ Chí Minh,6.00,4.75,,4.00,2.00,3.50,,,
17,02069072,02 - Sở GDĐT TP. Hồ Chí Minh,7.00,5.00,,4.00,2.50,4.50,,,
18,02081735,02 - Sở GDĐT TP. Hồ Chí Minh,4.60,5.25,,4.00,2.75,3.25,,,
19,02063041,02 - Sở GDĐT TP. Hồ Chí Minh,6.80,5.25,,4.00,2.75,3.75,,,
20,02074216,02 - Sở GDĐT TP. Hồ Chí Minh,5.20,5.25,,4.00,3.00,2.25,,,
21,02075320,02 - Sở GDĐT TP. Hồ Chí Minh,4.80,4.50,,4.00,3.00,3.25,,,
22,02003928,02 - Sở GDĐT TP. Hồ Chí Minh,4.40,5.75,,4.00,3.25,3.50,,,
23,02075313,02 - Sở GDĐT TP. Hồ Chí Minh,6.00,6.25,,4.00,3.25,3.50,,,
24,02083870,02 - Sở GDĐT TP. Hồ Chí Minh,5.00,4.75,,4.00,3.25,4.75,,,
25,02019599,02 - Sở GDĐT TP. Hồ Chí Minh,6.80,3.00,,4.00,3.75,2.75,,,
26,02053011,02 - Sở GDĐT TP. Hồ Chí Minh,6.80,,,4.00,4.00,,,,
27,02083405,02 - Sở GDĐT TP. Hồ Chí Minh,4.60,4.75,,4.00,4.00,1.75,,,
28,02083007,02 - Sở GDĐT TP. Hồ Chí Minh,7.20,7.00,,4.00,4.00,4.75,,,
29,02065928,02 - Sở GDĐT TP. Hồ Chí Minh,7.00,6.25,,4.00,4.25,2.50,,,
30,02078426,02 - Sở GDĐT TP. Hồ Chí Minh,5.80,4.50,,4.00,4.25,3.50,,,
31,02078347,02 - Sở GDĐT TP. Hồ Chí Minh,5.20,6.25,,4.00,4.25,3.75,,,
32,02062694,02 - Sở GDĐT TP. Hồ Chí Minh,4.80,4.50,,4.00,4.25,4.25,,,
33,02004291,02 - Sở GDĐT TP. Hồ Chí Minh,6.40,6.50,,4.00,4.25,4.25,,,
34,02073932,02 - Sở GDĐT TP. Hồ Chí Minh,5.20,5.50,,4.00,4.25,4.50,,,
35,02019458,02 - Sở GDĐT TP. Hồ Chí Minh,6.00,5.75,,4.00,4.25,4.75,,,
36,02071876,02 - Sở GDĐT TP. Hồ Chí Minh,4.80,3.25,,4.00,4.50,2.75,,,
37,02071441,02 - Sở GDĐT TP. Hồ Chí Minh,5.00,5.50,,4.00,4.50,3.50,,,
38,02063104,02 - Sở GDĐT TP. Hồ Chí Minh,6.40,6.50,,4.00,4.50,4.00,,,
39,02067928,02 - Sở GDĐT TP. Hồ Chí Minh,6.00,5.50,,4.00,4.50,4.25,,,
40,02067918,02 - Sở GDĐT TP. Hồ Chí Minh,6.00,6.25,,4.00,4.50,4.75,,,
41,01095468,01 - Sở GDĐT Hà Nội,6.20,6.00,,4.00,4.50,5.00,,,
42,02073848,02 - Sở GDĐT TP. Hồ Chí Minh,6.20,6.25,,4.00,4.75,3.50,,,
43,02071563,02 - Sở GDĐT TP. Hồ Chí Minh,4.00,5.75,,4.00,4.75,3.75,,,
44,02084471,02 - Sở GDĐT TP. Hồ Chí Minh,5.80,7.00,,4.00,4.75,3.75,,,
45,02078390,02 - Sở GDĐT TP. Hồ Chí Minh,6.80,5.00,,4.00,4.75,3.75,,,
46,02047649,02 - Sở GDĐT TP. Hồ Chí Minh,5.20,4.50,,4.00,4.75,4.00,,,
47,02066213,02 - Sở GDĐT TP. Hồ Chí Minh,5.60,4.00,,4.00,4.75,5.00,,,
48,02069659,02 - Sở GDĐT TP. Hồ Chí Minh,3.80,6.00,,4.00,5.00,1.75,,,
49,03006332,03 - Sở GDĐT Hải Phòng,7.20,9.00,,4.00,5.00,2.75,,,
50,01092231,01 - Sở GDĐT Hà Nội,7.20,5.25,,4.00,5.00,3.75,,,
51,02081869,02 - Sở GDĐT TP. Hồ Chí Minh,6.00,4.50,,4.00,5.00,5.25,,,
52,02074810,02 - Sở GDĐT TP. Hồ Chí Minh,5.40,6.25,,4.00,5.25,3.50,,,
53,02084432,02 - Sở GDĐT TP. Hồ Chí Minh,7.40,5.75,,4.00,5.25,3.50,,,
54,02084427,02 - Sở GDĐT TP. Hồ Chí Minh,5.40,4.50,,4.00,5.25,4.50,,,
55,02083076,02 - Sở GDĐT TP. Hồ Chí Minh,6.80,4.50,,4.00,5.25,5.50,,,
56,02082843,02 - Sở GDĐT TP. Hồ Chí Minh,5.80,5.00,,4.00,5.50,2.50,,,
57,02072494,02 - Sở GDĐT TP. Hồ Chí Minh,6.20,6.25,,4.00,5.50,2.75,,,
58,02081271,02 - Sở GDĐT TP. Hồ Chí Minh,6.20,5.25,,4.00,5.50,3.75,,,
59,02055082,02 - Sở GDĐT TP. Hồ Chí Minh,6.80,4.75,,4.00,5.50,4.25,,,
60,02080784,02 - Sở GDĐT TP. Hồ Chí Minh,7.60,6.25,,4.00,5.50,5.25,,,
61,02066071,02 - Sở GDĐT TP. Hồ Chí Minh,6.00,5.25,,4.00,5.75,2.75,,,
62,02084426,02 - Sở GDĐT TP. Hồ Chí Minh,7.00,6.00,,4.00,5.75,3.25,,,
63,02084315,02 - Sở GDĐT TP. Hồ Chí Minh,6.20,5.50,,4.00,5.75,3.75,,,
64,02083359,02 - Sở GDĐT TP. Hồ Chí Minh,7.40,5.75,,4.00,6.00,4.00,,,
65,02019456,02 - Sở GDĐT TP. Hồ Chí Minh,7.80,6.50,,4.00,6.00,4.75,,,
66,02019188,02 - Sở GDĐT TP. Hồ Chí Minh,7.40,5.75,,4.00,6.25,3.00,,,
67,02024711,02 - Sở GDĐT TP. Hồ Chí Minh,7.60,5.00,,4.00,6.25,3.25,,,
68,02072537,02 - Sở GDĐT TP. Hồ Chí Minh,7.60,6.75,,4.00,6.25,4.00,,,
69,02060001,02 - Sở GDĐT TP. Hồ Chí Minh,6.20,4.00,,4.00,6.25,4.25,,,
70,02004377,02 - Sở GDĐT TP. Hồ Chí Minh,7.60,6.25,,4.00,6.25,6.00,,,
