,Số báo danh,Cụm thi,Toán,Ngữ văn,Ngoại ngữ,Vật lý,Hóa học,Sinh học,Lịch sử,Địa lý,GDCD
0,02015509,02 - Sở GDĐT TP. Hồ Chí Minh,7.40,6.50,,5.50,7.50,4.75,,,
1,02082403,02 - Sở GDĐT TP. Hồ Chí Minh,7.60,,,5.50,7.50,4.75,,,
2,02047798,02 - Sở GDĐT TP. Hồ Chí Minh,7.20,6.75,,5.50,7.50,5.25,,,
3,02009998,02 - Sở GDĐT TP. Hồ Chí Minh,7.40,6.25,,5.50,7.50,6.50,,,
4,02041209,02 - Sở GDĐT TP. Hồ Chí Minh,8.40,7.75,,5.50,7.50,6.75,,,
5,02082841,02 - Sở GDĐT TP. Hồ Chí Minh,7.80,7.00,,5.50,7.50,7.25,,,
6,02019133,02 - Sở GDĐT TP. Hồ Chí Minh,8.40,7.25,,5.50,7.50,7.25,,,
7,02069100,02 - Sở GDĐT TP. Hồ Chí Minh,8.00,,,5.50,7.75,,,,
8,02082169,02 - Sở GDĐT TP. Hồ Chí Minh,6.80,5.50,,5.50,7.75,3.75,,,
9,02064648,02 - Sở GDĐT TP. Hồ Chí Minh,7.80,6.25,,5.50,7.75,6.75,,,
10,02058688,02 - Sở GDĐT TP. Hồ Chí Minh,8.00,,,5.50,8.00,,,,
11,02082655,02 - Sở GDĐT TP. Hồ Chí Minh,9.00,,,5.50,8.00,,,,
12,02081614,02 - Sở GDĐT TP. Hồ Chí Minh,8.60,6.25,,5.50,8.00,4.75,,,
13,02009895,02 - Sở GDĐT TP. Hồ Chí Minh,7.00,7.00,,5.50,8.00,5.00,,,
14,01092335,01 - Sở GDĐT Hà Nội,7.60,,,5.50,8.00,5.00,,,
15,02055024,02 - Sở GDĐT TP. Hồ Chí Minh,7.40,7.00,,5.50,8.00,5.25,,,
16,02083673,02 - Sở GDĐT TP. Hồ Chí Minh,8.20,7.00,,5.50,8.00,7.25,,,
17,02055855,02 - Sở GDĐT TP. Hồ Chí Minh,8.40,6.50,,5.50,8.00,7.25,,,
18,02081704,02 - Sở GDĐT TP. Hồ Chí Minh,8.00,6.75,,5.50,8.25,3.00,,,
19,02083925,02 - Sở GDĐT TP. Hồ Chí Minh,6.80,6.25,,5.50,8.25,4.25,,,
20,02058719,02 - Sở GDĐT TP. Hồ Chí Minh,7.60,,,5.50,8.25,7.50,,,
21,02005010,02 - Sở GDĐT TP. Hồ Chí Minh,7.40,7.00,,5.50,8.25,8.50,,,
22,02005660,02 - Sở GDĐT TP. Hồ Chí Minh,8.80,5.00,,5.50,8.25,8.75,,,
23,02047053,02 - Sở GDĐT TP. Hồ Chí Minh,7.80,7.50,,5.50,8.50,6.25,,,
24,02074247,02 - Sở GDĐT TP. Hồ Chí Minh,7.20,4.00,,5.50,8.50,7.25,,,
25,02021063,02 - Sở GDĐT TP. Hồ Chí Minh,7.80,5.75,,5.50,8.50,7.75,,,
26,02068912,02 - Sở GDĐT TP. Hồ Chí Minh,9.20,,,5.50,8.50,8.00,,,
27,03006855,03 - Sở GDĐT Hải Phòng,9.00,5.00,,5.50,8.50,8.75,,,
28,02005771,02 - Sở GDĐT TP. Hồ Chí Minh,9.00,6.00,,5.50,8.50,8.75,,,
29,02004851,02 - Sở GDĐT TP. Hồ Chí Minh,9.00,8.00,,5.50,8.50,8.75,,,
30,02004757,02 - Sở GDĐT TP. Hồ Chí Minh,8.60,5.75,,5.50,8.75,7.50,,,
31,02006060,02 - Sở GDĐT TP. Hồ Chí Minh,8.20,6.75,,5.50,8.75,7.75,,,
32,02071103,02 - Sở GDĐT TP. Hồ Chí Minh,8.60,6.00,,5.50,8.75,7.75,,,
33,02005080,02 - Sở GDĐT TP. Hồ Chí Minh,8.40,6.00,,5.50,8.75,9.00,,,
34,02026991,02 - Sở GDĐT TP. Hồ Chí Minh,9.00,6.75,,5.50,9.00,8.25,,,
35,02071274,02 - Sở GDĐT TP. Hồ Chí Minh,8.40,5.50,,5.50,9.00,8.50,,,
36,02004536,02 - Sở GDĐT TP. Hồ Chí Minh,9.00,6.75,,5.50,9.00,8.75,,,
37,02027064,02 - Sở GDĐT TP. Hồ Chí Minh,8.80,8.00,,5.50,9.00,9.75,,,
38,02004578,02 - Sở GDĐT TP. Hồ Chí Minh,8.60,6.50,,5.50,9.25,9.25,,,
39,02005468,02 - Sở GDĐT TP. Hồ Chí Minh,9.20,4.50,,5.50,9.25,9.50,,,
40,01091906,01 - Sở GDĐT Hà Nội,6.40,,,5.75,2.00,,,,
41,01095317,01 - Sở GDĐT Hà Nội,6.40,3.50,,5.75,2.75,3.00,,,
42,02049565,02 - Sở GDĐT TP. Hồ Chí Minh,5.80,,,5.75,3.00,,,,
43,02073668,02 - Sở GDĐT TP. Hồ Chí Minh,6.80,4.50,,5.75,3.50,2.50,,,
44,02072920,02 - Sở GDĐT TP. Hồ Chí Minh,7.40,7.25,,5.75,3.75,2.75,,,
45,02016052,02 - Sở GDĐT TP. Hồ Chí Minh,7.20,6.50,,5.75,3.75,4.00,,,
46,02063253,02 - Sở GDĐT TP. Hồ Chí Minh,6.40,,,5.75,4.00,,,,
47,02010142,02 - Sở GDĐT TP. Hồ Chí Minh,5.20,4.75,,5.75,4.00,2.25,,,
48,01096759,01 - Sở GDĐT Hà Nội,7.60,6.75,,5.75,4.00,3.75,,,
49,02055135,02 - Sở GDĐT TP. Hồ Chí Minh,7.00,5.75,,5.75,4.00,4.50,,,
50,01094416,01 - Sở GDĐT Hà Nội,8.20,6.50,,5.75,4.00,5.00,,,
51,02050328,02 - Sở GDĐT TP. Hồ Chí Minh,6.80,6.25,,5.75,4.00,5.75,,,
52,02053188,02 - Sở GDĐT TP. Hồ Chí Minh,7.80,,,5.75,4.25,,,,
53,02064052,02 - Sở GDĐT TP. Hồ Chí Minh,4.60,6.00,,5.75,4.25,3.00,,,
54,02047443,02 - Sở GDĐT TP. Hồ Chí Minh,7.00,6.50,,5.75,4.25,3.25,,,
55,02068821,02 - Sở GDĐT TP. Hồ Chí Minh,7.20,6.00,,5.75,4.25,4.25,,,
56,02059738,02 - Sở GDĐT TP. Hồ Chí Minh,7.00,4.75,,5.75,4.25,4.50,,,
57,02024481,02 - Sở GDĐT TP. Hồ Chí Minh,6.20,6.00,,5.75,4.25,5.25,,,
