,Số báo danh,Cụm thi,Toán,Ngữ văn,Ngoại ngữ,Vật lý,Hóa học,Sinh học,Lịch sử,Địa lý,GDCD
0,22008083,22 - Sở GDĐT Hưng Yên,2.80,4.50,,4.25,,,3.50,4.25,
1,17004747,17 - Sở GDĐT Quảng Ninh,3.00,3.75,,4.25,,,3.50,4.25,
2,17012465,17 - Sở GDĐT Quảng Ninh,3.00,3.75,,4.25,,,3.50,4.25,
3,24003756,24 - Sở GDĐT Hà Nam,3.00,4.25,,4.25,,,3.50,4.25,
4,17014202,17 - Sở GDĐT Quảng Ninh,3.00,4.50,,4.25,,,3.50,4.25,
5,23009458,23 - Sở GDĐT Hoà Bình,3.00,4.50,,4.25,,,3.50,4.25,
6,18020100,18 - Sở GDĐT Bắc Giang,3.20,2.00,,4.25,,,3.50,4.25,
7,18011741,18 - Sở GDĐT Bắc Giang,3.20,6.25,,4.25,,,3.50,4.25,
8,17011228,17 - Sở GDĐT Quảng Ninh,3.40,3.75,,4.25,,,3.50,4.25,
9,17010240,17 - Sở GDĐT Quảng Ninh,3.40,4.00,,4.25,,,3.50,4.25,
10,21001583,21 - Sở GDĐT Hải Dương,3.40,4.50,,4.25,,,3.50,4.25,
11,24000555,24 - Sở GDĐT Hà Nam,3.80,3.50,,4.25,,,3.50,4.25,
12,21002434,21 - Sở GDĐT Hải Dương,4.00,3.50,,4.25,,,3.50,4.25,
13,22005390,22 - Sở GDĐT Hưng Yên,4.20,4.50,,4.25,,,3.50,4.25,
14,26006990,26 - Sở GDĐT Thái Bình,4.20,5.00,,4.25,,,3.50,4.25,
15,18004175,18 - Sở GDĐT Bắc Giang,4.80,4.25,,4.25,,,3.50,4.25,
16,18004349,18 - Sở GDĐT Bắc Giang,5.00,7.00,,4.25,,,3.50,4.25,
17,18016771,18 - Sở GDĐT Bắc Giang,5.20,3.50,,4.25,,,3.50,4.25,
18,26000074,26 - Sở GDĐT Thái Bình,5.20,4.50,,4.25,,,3.50,4.25,
19,26000558,26 - Sở GDĐT Thái Bình,1.80,2.00,,4.50,,,3.50,4.50,
20,21020075,21 - Sở GDĐT Hải Dương,1.80,3.50,,4.50,,,3.50,4.50,
21,17010169,17 - Sở GDĐT Quảng Ninh,1.80,3.75,,4.50,,,3.50,4.50,
22,17015251,17 - Sở GDĐT Quảng Ninh,2.20,2.75,,4.50,,,3.50,4.50,
