,Số báo danh,Cụm thi,Toán,Ngữ văn,Ngoại ngữ,Vật lý,Hóa học,Sinh học,Lịch sử,Địa lý,GDCD
0,41002570,41 - Sở GDĐT Khánh Hoà,2.20,2.00,,3.75,,,3.25,3.75,
1,38005592,38 - Sở GDĐT Gia Lai,2.60,2.00,,3.75,,,3.25,3.75,
2,40016396,40 - Sở GDĐT Đắk Lắk,2.60,3.75,,3.75,,,3.25,3.75,
3,40016398,40 - Sở GDĐT Đắk Lắk,2.60,5.25,,3.75,,,3.25,3.75,
4,39009687,39 - Sở GDĐT Phú Yên,2.80,2.00,,3.75,,,3.25,3.75,
5,40011831,40 - Sở GDĐT Đắk Lắk,2.80,2.00,,3.75,,,3.25,3.75,
6,40016199,40 - Sở GDĐT Đắk Lắk,2.80,4.00,,3.75,,,3.25,3.75,
7,40004113,40 - Sở GDĐT Đắk Lắk,3.20,4.25,,3.75,,,3.25,3.75,
8,36003475,36 - Sở GDĐT Kon Tum,3.40,1.50,,3.75,,,3.25,3.75,
9,33005278,33 - Sở GDĐT Thừa Thiên -Huế,3.60,7.00,,3.75,,,3.25,3.75,
10,35003200,35 - Sở GDĐT Quảng Ngãi,3.80,4.50,,3.75,,,3.25,3.75,
11,39009556,39 - Sở GDĐT Phú Yên,4.20,2.50,,3.75,,,3.25,3.75,
12,40019075,40 - Sở GDĐT Đắk Lắk,4.40,5.25,,3.75,,,3.25,3.75,
13,36004560,36 - Sở GDĐT Kon Tum,5.20,3.50,,3.75,,,3.25,3.75,
14,35007641,35 - Sở GDĐT Quảng Ngãi,1.20,4.00,,3.75,,,3.50,3.75,
15,40013800,40 - Sở GDĐT Đắk Lắk,1.60,2.75,,3.75,,,3.50,3.75,
16,40016173,40 - Sở GDĐT Đắk Lắk,1.60,5.75,,3.75,,,3.50,3.75,
17,41011649,41 - Sở GDĐT Khánh Hoà,2.20,2.75,,3.75,,,3.50,3.75,
18,33005504,33 - Sở GDĐT Thừa Thiên -Huế,2.20,3.00,,3.75,,,3.50,3.75,
19,40011838,40 - Sở GDĐT Đắk Lắk,2.20,3.00,,3.75,,,3.50,3.75,
20,40003640,40 - Sở GDĐT Đắk Lắk,2.20,3.75,,3.75,,,3.50,3.75,
21,40003941,40 - Sở GDĐT Đắk Lắk,2.40,4.50,,3.75,,,3.50,3.75,
22,40019051,40 - Sở GDĐT Đắk Lắk,2.60,3.50,,3.75,,,3.50,3.75,
23,33004869,33 - Sở GDĐT Thừa Thiên -Huế,2.60,4.50,,3.75,,,3.50,3.75,
24,41008785,41 - Sở GDĐT Khánh Hoà,2.60,5.00,,3.75,,,3.50,3.75,
25,38003545,38 - Sở GDĐT Gia Lai,2.80,4.75,,3.75,,,3.50,3.75,
26,36003264,36 - Sở GDĐT Kon Tum,3.00,2.25,,3.75,,,3.50,3.75,
27,40001512,40 - Sở GDĐT Đắk Lắk,3.00,4.25,,3.75,,,3.50,3.75,
28,41012151,41 - Sở GDĐT Khánh Hoà,3.00,5.75,,3.75,,,3.50,3.75,
29,41009805,41 - Sở GDĐT Khánh Hoà,3.20,5.00,,3.75,,,3.50,3.75,
30,39009618,39 - Sở GDĐT Phú Yên,3.40,2.75,,3.75,,,3.50,3.75,
31,40018765,40 - Sở GDĐT Đắk Lắk,3.40,5.25,,3.75,,,3.50,3.75,
32,35009280,35 - Sở GDĐT Quảng Ngãi,3.40,5.50,,3.75,,,3.50,3.75,
33,40007522,40 - Sở GDĐT Đắk Lắk,3.60,3.50,,3.75,,,3.50,3.75,
34,41001210,41 - Sở GDĐT Khánh Hoà,3.60,3.75,,3.75,,,3.50,3.75,
35,41001369,41 - Sở GDĐT Khánh Hoà,3.60,4.00,,3.75,,,3.50,3.75,
36,35001002,35 - Sở GDĐT Quảng Ngãi,4.00,3.50,,3.75,,,3.50,3.75,
37,35003082,35 - Sở GDĐT Quảng Ngãi,4.20,3.00,,3.75,,,3.50,3.75,
38,35000482,35 - Sở GDĐT Quảng Ngãi,4.20,5.00,,3.75,,,3.50,3.75,
39,38007205,38 - Sở GDĐT Gia Lai,1.80,2.00,,3.75,,,3.75,3.75,
40,33005271,33 - Sở GDĐT Thừa Thiên -Huế,2.00,6.75,,3.75,,,3.75,3.75,
41,40008754,40 - Sở GDĐT Đắk Lắk,2.20,4.75,,3.75,,,3.75,3.75,
42,38011328,38 - Sở GDĐT Gia Lai,2.40,3.00,,3.75,,,3.75,3.75,
43,38004863,38 - Sở GDĐT Gia Lai,2.60,3.00,,3.75,,,3.75,3.75,
44,35001219,35 - Sở GDĐT Quảng Ngãi,2.60,4.75,,3.75,,,3.75,3.75,
45,33005440,33 - Sở GDĐT Thừa Thiên -Huế,2.60,5.75,,3.75,,,3.75,3.75,
46,39009120,39 - Sở GDĐT Phú Yên,3.20,2.00,,3.75,,,3.75,3.75,
47,41008868,41 - Sở GDĐT Khánh Hoà,3.20,6.00,,3.75,,,3.75,3.75,
48,35005122,35 - Sở GDĐT Quảng Ngãi,3.40,3.00,,3.75,,,3.75,3.75,
49,34009948,34 - Sở GDĐT Quảng Nam,3.40,5.00,,3.75,,,3.75,3.75,
50,39009084,39 - Sở GDĐT Phú Yên,3.40,5.00,,3.75,,,3.75,3.75,
51,38011725,38 - Sở GDĐT Gia Lai,3.60,2.25,,3.75,,,3.75,3.75,
52,41000009,41 - Sở GDĐT Khánh Hoà,3.80,2.50,,3.75,,,3.75,3.75,
53,38004849,38 - Sở GDĐT Gia Lai,3.80,4.50,,3.75,,,3.75,3.75,
54,33005256,33 - Sở GDĐT Thừa Thiên -Huế,4.00,0.50,,3.75,,,3.75,3.75,
55,36002323,36 - Sở GDĐT Kon Tum,4.20,2.75,,3.75,,,3.75,3.75,
56,35000271,35 - Sở GDĐT Quảng Ngãi,5.60,6.75,,3.75,,,3.75,3.75,
57,34009550,34 - Sở GDĐT Quảng Nam,6.80,3.00,,3.75,,,3.75,3.75,
58,38007222,38 - Sở GDĐT Gia Lai,7.60,3.00,,3.75,,,3.75,3.75,
59,41003382,41 - Sở GDĐT Khánh Hoà,,5.75,,3.75,,,4.00,3.75,
60,40002295,40 - Sở GDĐT Đắk Lắk,1.40,3.00,,3.75,,,4.00,3.75,
61,36004498,36 - Sở GDĐT Kon Tum,1.80,1.75,,3.75,,,4.00,3.75,
62,35012330,35 - Sở GDĐT Quảng Ngãi,1.80,5.00,,3.75,,,4.00,3.75,
63,33005460,33 - Sở GDĐT Thừa Thiên -Huế,2.00,2.75,,3.75,,,4.00,3.75,
64,38013919,38 - Sở GDĐT Gia Lai,2.20,2.00,,3.75,,,4.00,3.75,
65,40011857,40 - Sở GDĐT Đắk Lắk,2.20,4.50,,3.75,,,4.00,3.75,
66,35001019,35 - Sở GDĐT Quảng Ngãi,2.20,4.60,,3.75,,,4.00,3.75,
