,Số báo danh,Cụm thi,Toán,Ngữ văn,Ngoại ngữ,Vật lý,Hóa học,Sinh học,Lịch sử,Địa lý,GDCD
0,41011758,41 - Sở GDĐT Khánh Hoà,6.40,5.00,,,,,7.50,,
1,38006093,38 - Sở GDĐT Gia Lai,7.20,6.75,,,,,7.50,,
2,40016764,40 - Sở GDĐT Đắk Lắk,8.20,7.00,,,,,7.50,,
3,33004405,33 - Sở GDĐT Thừa Thiên -Huế,6.60,4.50,,,,,7.75,,
4,34011785,34 - Sở GDĐT Quảng Nam,7.00,6.50,,,,,7.75,,
5,38002160,38 - Sở GDĐT Gia Lai,7.60,5.75,,,,,7.75,,
6,40016190,40 - Sở GDĐT Đắk Lắk,8.00,8.25,,,,,7.75,,
7,39001405,39 - Sở GDĐT Phú Yên,6.00,7.00,,,,,8.00,,
8,34011271,34 - Sở GDĐT Quảng Nam,7.80,6.75,,,,,8.00,,
9,37000483,37 - Sở GDĐT Bình Định,8.40,7.00,,,,,8.00,,
10,40015582,40 - Sở GDĐT Đắk Lắk,4.60,4.00,,,,,8.25,,
11,42000953,42 - Sở GDĐT Lâm Đồng,4.60,5.75,,,,,8.25,,
12,41008164,41 - Sở GDĐT Khánh Hoà,6.40,4.25,,,,,8.25,,
13,41003684,41 - Sở GDĐT Khánh Hoà,6.80,6.00,,,,,8.25,,
14,33007912,33 - Sở GDĐT Thừa Thiên -Huế,7.20,7.00,,,,,8.25,,
15,37000456,37 - Sở GDĐT Bình Định,7.40,7.00,,,,,8.25,,
16,37000525,37 - Sở GDĐT Bình Định,8.00,5.75,,,,,8.25,,
17,40016761,40 - Sở GDĐT Đắk Lắk,8.00,5.75,,,,,8.25,,
18,41003313,41 - Sở GDĐT Khánh Hoà,8.00,6.75,,,,,8.25,,
19,42001262,42 - Sở GDĐT Lâm Đồng,8.00,9.00,,,,,8.25,,
20,39009230,39 - Sở GDĐT Phú Yên,6.00,8.00,,,,,8.50,,
21,36000865,36 - Sở GDĐT Kon Tum,6.40,6.50,,,,,8.50,,
22,38001350,38 - Sở GDĐT Gia Lai,6.60,6.00,,,,,8.50,,
23,39009507,39 - Sở GDĐT Phú Yên,6.80,7.25,,,,,8.50,,
24,39002720,39 - Sở GDĐT Phú Yên,7.20,7.25,,,,,8.50,,
25,41002521,41 - Sở GDĐT Khánh Hoà,7.60,5.50,,,,,8.50,,
26,36000668,36 - Sở GDĐT Kon Tum,7.60,6.25,,,,,8.50,,
27,37000221,37 - Sở GDĐT Bình Định,8.00,6.25,,,,,8.50,,
28,37000579,37 - Sở GDĐT Bình Định,8.00,7.25,,,,,8.50,,
29,34011160,34 - Sở GDĐT Quảng Nam,6.20,4.75,,,,,8.75,,
30,39009511,39 - Sở GDĐT Phú Yên,6.20,5.25,,,,,8.75,,
