,Số báo danh,Cụm thi,Toán,Ngữ văn,Ngoại ngữ,Vật lý,Hóa học,Sinh học,Lịch sử,Địa lý,GDCD
0,14006747,14 - Sở GDĐT Sơn La,,,,,,,,,
1,13002827,13 - Sở GDĐT Yên Bái,,1.25,,,,,,,
2,04006907,04 - Sở GDĐT Đà Nẵng,,1.50,,,,,,,
3,06000640,06 - Sở GDĐT Cao Bằng,,1.50,,,,,,,
4,15008444,15 - Sở GDĐT Phú Thọ,,1.75,,,,,,,
5,06003079,06 - Sở GDĐT Cao Bằng,,2.00,,,,,,,
6,16004548,16 - Sở GDĐT Vĩnh Phúc,,2.00,,,,,,,
7,09001192,09 - Sở GDĐT Tuyên Quang,,2.25,,,,,,,
8,04001990,04 - Sở GDĐT Đà Nẵng,,2.75,,,,,,,
9,14005142,14 - Sở GDĐT Sơn La,,3.50,,,,,,,
10,04002124,04 - Sở GDĐT Đà Nẵng,,3.75,,,,,,,
11,04007627,04 - Sở GDĐT Đà Nẵng,,5.00,,,,,,,
12,05002611,05 - Sở GDĐT Hà Giang,,5.00,,,,,,,
13,15008999,15 - Sở GDĐT Phú Thọ,,5.25,,,,,,,
14,05001395,05 - Sở GDĐT Hà Giang,,5.50,,,,,,,
15,08003917,08 - Sở GDĐT Lào Cai,,5.50,,,,,,,
16,09003038,09 - Sở GDĐT Tuyên Quang,,5.75,,,,,,,
17,10002557,10 - Sở GDĐT Lạng Sơn,,5.75,,,,,,,
18,13002172,13 - Sở GDĐT Yên Bái,,5.75,,,,,,,
19,10002411,10 - Sở GDĐT Lạng Sơn,,6.00,,,,,,,
20,12008751,12 - Sở GDĐT Thái Nguyên,,6.00,,,,,,,
21,16007477,16 - Sở GDĐT Vĩnh Phúc,,6.00,,,,,,,
22,10004271,10 - Sở GDĐT Lạng Sơn,,6.50,,,,,,,
23,13005337,13 - Sở GDĐT Yên Bái,,6.50,,,,,,,
24,10000451,10 - Sở GDĐT Lạng Sơn,,6.75,,,,,,,
25,12007707,12 - Sở GDĐT Thái Nguyên,,6.75,,,,,,,
26,13006520,13 - Sở GDĐT Yên Bái,,6.75,,,,,,,
27,10008428,10 - Sở GDĐT Lạng Sơn,,7.25,,,,,,,
28,12005059,12 - Sở GDĐT Thái Nguyên,,7.25,,,,,,,
29,16007559,16 - Sở GDĐT Vĩnh Phúc,,7.25,,,,,,,
30,03015139,03 - Sở GDĐT Hải Phòng,,7.50,,,,,,,
31,03022487,03 - Sở GDĐT Hải Phòng,,7.50,,,,,,,
32,09001736,09 - Sở GDĐT Tuyên Quang,,7.50,,,,,,,
33,10008195,10 - Sở GDĐT Lạng Sơn,,7.50,,,,,,,
34,16007555,16 - Sở GDĐT Vĩnh Phúc,,7.50,,,,,,,
35,15011232,15 - Sở GDĐT Phú Thọ,,7.75,,,,,,,
36,12007618,12 - Sở GDĐT Thái Nguyên,,8.00,,,,,,,
37,12008847,12 - Sở GDĐT Thái Nguyên,,8.00,,,,,,,
38,16005092,16 - Sở GDĐT Vĩnh Phúc,,8.00,,,,,,,
39,07003277,07 - Sở GDĐT Lai Châu,,8.25,,,,,,,
40,12011752,12 - Sở GDĐT Thái Nguyên,,8.25,,,,,,,
41,17001821,17 - Sở GDĐT Quảng Ninh,,8.30,,,,,,,
42,15005005,15 - Sở GDĐT Phú Thọ,,8.50,,,,,,,
43,06001729,06 - Sở GDĐT Cao Bằng,2.00,2.25,,,,,,,
44,09003134,09 - Sở GDĐT Tuyên Quang,2.00,3.50,,,,,,,
45,04002596,04 - Sở GDĐT Đà Nẵng,2.40,,,,,,,,
46,12002789,12 - Sở GDĐT Thái Nguyên,2.40,1.50,,,,,,,
47,04003920,04 - Sở GDĐT Đà Nẵng,2.40,2.50,,,,,,,
48,04002746,04 - Sở GDĐT Đà Nẵng,2.60,2.75,,,,,,,
49,08001094,08 - Sở GDĐT Lào Cai,3.00,4.00,,,,,,,
50,11001440,11 - Sở GDĐT Bắc Kạn,3.00,5.00,,,,,,,
51,12007790,12 - Sở GDĐT Thái Nguyên,3.20,2.25,,,,,,,
52,04012120,04 - Sở GDĐT Đà Nẵng,3.20,5.00,,,,,,,
53,16007317,16 - Sở GDĐT Vĩnh Phúc,3.40,,,,,,,,
54,05000464,05 - Sở GDĐT Hà Giang,3.60,3.50,,,,,,,
55,14010772,14 - Sở GDĐT Sơn La,3.80,6.75,,,,,,,
56,14003113,14 - Sở GDĐT Sơn La,4.00,7.00,,,,,,,
57,16004854,16 - Sở GDĐT Vĩnh Phúc,4.60,,,,,,,,
58,04002649,04 - Sở GDĐT Đà Nẵng,4.60,5.00,,,,,,,
59,16008337,16 - Sở GDĐT Vĩnh Phúc,4.80,5.00,,,,,,,
60,04002599,04 - Sở GDĐT Đà Nẵng,5.00,3.50,,,,,,,
61,14005130,14 - Sở GDĐT Sơn La,5.00,7.50,,,,,,,
62,17002114,17 - Sở GDĐT Quảng Ninh,5.20,3.75,,,,,,,
63,04002328,04 - Sở GDĐT Đà Nẵng,5.60,4.50,,,,,,,
64,04004360,04 - Sở GDĐT Đà Nẵng,5.60,6.00,,,,,,,
65,04003441,04 - Sở GDĐT Đà Nẵng,6.60,7.50,,,,,,,
66,05004866,05 - Sở GDĐT Hà Giang,6.60,8.00,,,,,,,
67,04000320,04 - Sở GDĐT Đà Nẵng,6.80,,,,,,,,
68,04006892,04 - Sở GDĐT Đà Nẵng,6.80,,,,,,,,
69,13002839,13 - Sở GDĐT Yên Bái,7.00,6.00,,,,,,,
70,14004851,14 - Sở GDĐT Sơn La,7.20,6.75,,,,,,,
